confirm,is it serving portuguese food
inform,um anything
inform,i want a restaurant in the north par
bye,thanks good bye
inform,chinese food im looking for sea food
reqalts,okay how about an expensive
reqalts,what about european food
inform,city center
request,what is what area is it in
null,sorry
inform,middle
inform,not korean
request,i want to know the address and phone number
inform,noise west
reqalts,how about south part of town
inform,find cheap restaurant
inform,moderately priced restaurant that serves fusion food
request,can i get the price range
inform,moderately priced in the west
inform,is there a restaurant serving indian type of food
inform,umh i dont care noise
inform,expensive mediterranean food
inform,lebanese
inform,expensive food in the south of town
inform,cheap restaurant in th east part of town
request,uh could you repeat the phone number
inform,noise cheap restaurant
inform,im looking for one that serves asian oriental food
ack,fine
null,and whats the other one
inform,breath do you have danish restaurants
affirm,right in the south side of town though
inform,i want a singaporean food restaurant
inform,i want to find a rest
inform,looking for a restaurant in the north side of town
inform,moderate price range please
request,okay whats the price range
inform,im looking for a moderately price restaurant that serves halo food
inform,im looking for a restaurant in the south part of town and it should serve chinese food
null,carrier
negate,no im looking for asian oriental
inform,i am looking for a moderately priced restaurant in the south part of town
null,pan
reqalts,is there anything
inform,restaurant north part of town
inform,north east
inform,i need a restaurant in the east part of town that serves creative
inform,im looking for tuscan food
thankyou,thank you goodb
request,phone number to that
inform,im looking for a moderately priced restaurant in the east part
hello,hi im looking for a rerestaurant that serves cuban food
inform,um any time of european type food
inform,expensive turk turkish
inform,moderately priced north part of
request,breath whats the phone number of the venue
inform,i want to find a moderately priced restaurant
reqalts,how about british type food
request,can i have the phone number address and price range
null,uh i want to find
inform,can i have it in any price range
inform,serves british food
inform,moderately priced in south part
null,the
inform,looking for a restaurant in the north of town
request,thank you and whats the address
inform,im looking for an expensive restaurant in the east part of t
inform,um im looking for a restaurant in north part of town
request,what kind of food do they have
reqalts,what about in the west area
inform,a cheap restaurant that serves basque food
request,uh whats the address and phone number
inform,im looking for swedish food
request,can you give me the address and price range
inform,looking for a restaurant in the center part of town
inform,center
inform,i am looking for an expensive restaurant
request,and what type of food is that
inform,catalanian
reqalts,uh what about indian food
reqalts,is there another
request,could i have the phone number and post code please
inform,im looking for a restaurant in the center that serves caribbean food
inform,um modern european food
inform,i want a singaporean food restaurant in the center
reqalts,uh how about italian food
request,could i have the phone number
restart,okay start over
inform,what about modern european food
inform,scandinavian
inform,im looking for an expensive restaurant that serves swiss food
inform,im looking for an expensive restaurant that serves turkish food
inform,im looking for mexican food
request,can i have post code
inform,i want to find a cheap restaurant in the west part of town
inform,looking for hungarian food in the north side of town
request,what about your signa
affirm,yes serving chinese food
inform,i want an expensive irish restaurant
inform,i need a restaurant in the north
reqalts,okay what about modern european food
null,in the
null,okay is there
inform,im looking for a restaurant that serves world food
inform,high priced
request,and the telephone
inform,expnsive
inform,uh any part of town
affirm,yes indian food
affirm,yes im looking for barbecue food
inform,i would like a moderately priced restaurant serving african food
inform,i want a restaurant in the west part of town that serves jamaican
inform,okay moderate price range gastropub
request,okay whats the post code
request,um whats the price range
inform,looking for moderately priced restaurant that serves creative food
inform,im looking for hungarian food i dont care about the price
inform,cheap restaurant that serves turkish food
hello,hi im looking for a restaurant in the
thankyou,noise thank you good bye
affirm,yes african food
request,can i get the address tv_noise
inform,im looking for a cheap restaurant that serves cuban food
inform,looking for a restaurant that serves corsica food in any area
reqalts,how about north american type of food
affirm,yes danish food
inform,i would like to find an expensive restaurant in the south part of town
inform,im looking for indian
inform,how bout european
inform,chineese
inform,im looking for asian oriental
negate,no thank you goodbye
inform,i want to find a restaurant in the west part of town that serves english food
inform,im looking for irish food in any price range
reqalts,okay what about another restaurant
request,what is their phone number and type of food
inform,any price range
inform,cheap spanish restaurant
null,and whats the postal code
inform,i am looking for catalin food
inform,id like italian food
inform,unintelligible part of town cheap restaurant
affirm,breath correct
inform,i want to find a cheap restaurant
inform,i need a restaurant that serves corsica food
inform,cheap restaurant that serves german food
inform,im looking for a restaurant in the center of town that
reqalts,are there any restaurant serving corsica food
inform,can i find an expensive restaurant that serves traditional food
inform,british expensive
inform,is there a venue in the west part of town
inform,spanish
reqalts,is there a restaurant that serves european food
thankyou,ah thank you goodbye
negate,no indian restaurant
reqalts,what about spanish type of food
inform,i want to find a moderately priced restaurant in the south part of time
inform,noise north part of town
request,could i have its address
inform,im looking for a restaurant that serves romanian food
inform,moderately priced in the south part of town
inform,im looking for a cheap restaurant and it should be in the south part of town
request,okay whats the address for that
request,uh does it serve
inform,do you have an expensive restaurant
inform,i would like to find a restaurant in the centre
request,phone number and address
inform,i want a restaurant in the north part of town that serves kosher
inform,find indian restaurant in north of town
request,can i have the price range of the venue
inform,chinese in the south part of town
repeat,again
thankyou,thank you bye
inform,uh scandinavian food
request,could i have the phone number and post code
inform,im looking for a restaurant in any area that serves north american type
inform,a moderately priced restaurant in the
inform,im looking for a restaurant in the east part of town serving chinese food
inform,breath unusual food
request,could i have its phone number
inform,im looking for a russian food
inform,moderately priced west part of town
inform,west part of town moderatley price
request,whats the address
null,is
request,what is there address
inform,im looking for a restaurant that serves british food
reqalts,next one
inform,gastropub moderate
inform,west of town
inform,could i have a restaurant in the south part of town that serves unusual
inform,find restaurant in north part of town
bye,bye
negate,no im looking for a unintelligible swiss food
negate,no hungarian food
inform,cheap restaurant that serves
inform,um it doesnt matter
request,okay can i get their address
inform,free food
request,can i get their address
inform,world food any price range
inform,okay change restaurant
request,what area of town is it
inform,im looking for a restaurant serving romanian food
inform,romanian food
inform,hindi food is okay
request,can i have the address phone number
inform,gastropub type foo
request,okay what type of food do they serve
hello,hello and welcome
reqalts,what about a modern europene type of food
inform,i am looking for a restaurant in the west part of town
affirm,yes that serves british food
inform,expensive restaurant it should serve persian food
null,nosie
inform,could i find an expensive restaurant that serves european food please
reqalts,what about earatree food
inform,spanish food any area
inform,the north
request,what is the address and telephone number
null,what is the
inform,i want to find a moderately priced restaurant serving spanish food
inform,im looking for a restaurant in the north part of town that serves asian oriental food
reqalts,what about asian oriental
request,breath okay uh thats great how bout the address
inform,traditional food
inform,i would like to find a restaurant in the north part of town that serves kosher food
inform,uh i dont care
affirm,uh yes i would like a restaurant in the south
inform,ah i dont care
affirm,yeah im in the west part of town and im looking for some vietnamese
inform,i would like to find a moderately priced restaurant and it should serve greek food
request,can i have the phone number and address of the venue
inform,african food in any price range
request,may i have the address phone number and postcode
inform,uh i dont mind
inform,noise vietnamese
inform,moderately priced restaurant serving international food
request,addre
hello,hi im looking for a restaurant that serves spanish food
inform,im looking for romanian food in the expensive price range
inform,is there any place that serves italian food
null,can i get the
inform,i want spanish food
inform,alright can i get chinese food
inform,center of town
inform,im looking for a moderately priced restaurant that serves vietnamese food
reqalts,is there a restaurant serving thai food
inform,can i get american food
request,can i get the post code
inform,breath im looking for a restaurant that serves cuban food
request,whats the address phone number
request,may i have their phone number
inform,i want brazilian food
inform,is there one in the west area
inform,a cheap restaurant serving mexican food
null,both
inform,im looking for a restaurant serving vegetarian food
request,whats the price range
inform,german food in the centre of town
reqalts,how about canape
bye,you good bye
request,can i have the phone number and post code of the venue
bye,good bye thank you good bye
hello,hello and welcome to the cambridge
inform,i would like a cheap restaurant in the north part of town
negate,no i need a restaurant in the west part of town
inform,im looking for asian oriental type food
inform,vietnamese vietnamese food
affirm,yes id like to find a cheap
inform,yea id like a restaurant in the west part of town thats
inform,im looking for something moderate
request,noise what is the area
request,what is the phone number and price range
inform,yea im looking for a restaurant that serves basque food
confirm,does it serve gastropub
inform,isian food
reqalts,um how about thai food
inform,i wanna find a moderately priced restaurant in the east part of t
reqalts,um how about spanish food
repeat,back
inform,i want a turkish restaurant
inform,i would like chinese food
inform,can i have irish food
reqalts,okay is there a restaurant that serves thai food
inform,can i get a moderately priced restaurant in the north
inform,i need an expensive restaurant serving british food
inform,moderately priced food in the north part of town
inform,breath a cheap restaurant in the north part of town
request,noise breath whats their phone number
inform,i would like to find a restaurant in the west part of town that serves
inform,yea im looking for a moderately priced restaurant in the south of town
reqalts,how about gastro type
request,and what is the price range
reqalts,how about thai
inform,asian ori
inform,fast food
inform,scandinavian food
request,address phone number and type of food
request,could i have the address phone number and postcode
request,what about the area
inform,im searching for mediterranean food
inform,serving romania food
confirm,is it the east part of town
request,and what is their post code
negate,no not noise
inform,how about gastro pub type of food
affirm,yes barbecue food
request,can i have the phone number and price range
inform,im looking for a moderately priced restaurant that serves sea food
inform,moderately priced danish food
request,part of town the address and postal code please
reqalts,how bout any price range
inform,im looking for a moderately priced restaurant that serves asian
inform,i need a restaurant in the west part of town
inform,restaurant in any area thats
request,can i can i have the address and price
request,phone number and price range
reqalts,um how about chinese food in the south part of town
inform,im looking for turkish food in the center
inform,south bart
affirm,uh yes im looking for malaysian food
inform,uh looking for a restaurant in any area and that needs to serve
inform,im looking for a restaurant in the east part of town that serves c
inform,singapore food
reqalts,what is the other portuguese restaurant
inform,i would like a restaurant that serves thai food
affirm,perfect
reqalts,uh what about chinese food
negate,what no
inform,again i do not care
inform,expensive restaurant serving caribbean food
inform,im moderate priced restaurant in the north part of town
request,im good can i have the address and phone number please
inform,any price range is fine
inform,i need a moderately priced restaurant that serves world food
inform,australasian
confirm,is that portuguese
inform,thai
reqalts,next one please
inform,cheap restaurant west part of town
inform,im looking for an expensive restaurant that serves thai food
null,adress
request,whats their price range
inform,id like a moderately priced restaurant
negate,no a cheap restaurant
request,okay ah wha whats the address
inform,restaurant with scandin
inform,is there an indian restaurant the east of town
inform,looking for welsh food
null,than
inform,i want to find an expensive restaurant that serves vegetarian food
reqalts,okay what about european
inform,just fuck every time i do it and this moron says that its indian sucks
affirm,uh yes can i have expensive restaurant that serves thai food
inform,what about irish food
request,kind i have the address
inform,any kind any thing
confirm,is it in the north part of town
request,what is its address
inform,restaurant in the north part of town that serves
request,okay and can i get the address
inform,i want french food
inform,the south part
inform,the west side
inform,system irish food
inform,afghan noise
inform,i would like korean food
inform,i want korean food
inform,id like to find a cheap restaurant in the west part of town
negate,no i want american food
reqalts,what about british food
request,can i get the address and post code
inform,cheap restaurant serving mediterranean food
request,address phone number and area
inform,is modern european food any good
inform,im looking for something serves japanese food
inform,the north part of tow
inform,id like a austrian restaurant in the south part of town
inform,city centre
reqalts,is there a restaurant in the south part of town that serves indian food
request,whats your address
inform,moderately priced restaurant in the east
request,uh whats the address
request,address and post code
inform,im looking for chinese food
request,see phone number and address
inform,chinese food in the east part of town
inform,north
inform,i want a polynesian restaurant in the west part of town
ack,okay just pick one for me then
request,what the addre
inform,im looking for an indian restaurant in the
inform,i want something in the south
inform,im looking for polish food
negate,breath no unusual food
affirm,yes im looking for a
inform,like to find a restaurant in the east part of town and it should serve indian food
inform,im looking for a restaurant that serves mediterranean
inform,i want a moderately priced chinese restaurant
inform,i want to find an expensive restaurant that serves korean food
request,uh phone number
reqalts,uh anything else
inform,i want to find a restaurant that serves world food
inform,any area cuban food
inform,im looking for an expensive restaurant that serves unintelligible food
reqalts,okay how about the west part of town with italian
negate,no center
inform,a restaurant in the south part of town
inform,the center
hello,hi i am looking for a moderately priced restaurant in the west
inform,serves lebanese food
negate,breath no american food
request,phone number and pri
request,can i have the address phone number and price range
inform,looking for an expensive restaurant
request,ah whats the phone number
inform,iam looking for a restaurant in the center
inform,im looking for korean food
request,and the phone number again
inform,moderate price north part of town
inform,polynesia food
inform,i would like a cheap restaurant in the south part of town
request,may i have the address of the venue
thankyou,thank you goodbye noise
inform,any part of town please
reqalts,are there any others
inform,eartrain
inform,i want a restaurant that serves french food
inform,im looking for a moderately priced restaurant with catalan food
request,whats his addre
inform,serving mexican food
inform,pub
inform,north american food
inform,i am looking for kitalian food
reqalts,anything elses
reqalts,okay how about asian oriental
inform,are there any that serves mediterranean type food
thankyou,thanks us
negate,no im looking in the south of the town
inform,iam looking for a restaurant that serves bistro food
inform,gastro pub
inform,im looking for a moderately priced restaurant in the west part
inform,i need a restaurant serving af
reqalts,how about british food
reqalts,how about asian food
inform,i want a find a restaurant serving mediterranean food
request,could i have the uh address and post code please
null,suggestions
inform,im looking for a restaurant serving european food
null,id like a
reqalts,how about canapes
request,can i have the price range
inform,i want an expensive restaurant that serves polish food
reqalts,what about portugese
inform,uh im looking for a moderately priced restaurant
request,the address
inform,im looking for a restaurant in any area that serves austrian food
request,could i have the address
inform,i want an indonesian restaurant in the north part of town
inform,i am looking for a restaurant in the north part of town it shou
inform,lebanese food
inform,expensive restaurant in the east of town
reqalts,um how about italian food
inform,im looking for an expensive restaurant that serves european food
request,uh whats the phone number and post code
inform,ringing i need a moderately priced restaurant
request,may i have the address and type of food
reqalts,how about spanish food
repeat,okay let me try this again
request,whats the address and area
request,may i get the address
inform,um i dont care i just want traditional food
affirm,yes id like a restaurant in the east part of town that serves indian food
inform,im looking for russian food
reqalts,how about italian
inform,i need a cheap restaurant in the east part of town
inform,brazilian
inform,central
inform,malaysian
inform,im looking for a restaurant in the west part
request,okay what was the name
inform,i want some british food
hello,hi im looking for a place that serves scandinavian food
confirm,does it serve christmas food
inform,modern euorpean
reqalts,what about spanish food
inform,expensive russian food
inform,aristrain food
inform,restaurant in the west part of town that serves cuban food
request,ok whats the phone number
reqalts,cross talk how about gastro pub
inform,international type food
restart,start again
inform,belgium
bye,okay cool thank you good bye
inform,im looking for an expensive restaurant serving french food
inform,serving european food
reqalts,how about modern european food
null,arts town
reqalts,how about west
request,okay might i have the address
inform,noise restaurant west part of town danish food
bye,okay bye
inform,danish food
inform,im looking for a moderately priced restaurant that serves british food
request,and can i have the address phone number and price range of the restaurant please
inform,in the east part
inform,im looking a cheap restaurant in the south part of town
request,see the address
inform,im looking for a restaurant in the east part of town that serves world food
inform,a restaurant in the center that serves mediterranean food
null,noise
request,great could you tell me the address and phone number to that place
hello,halo
request,can i please have their phone number
inform,what is a good cheap restaurant that serves portuguese food
request,the address and phone number
inform,i want to find a restaurant in the south part of town
inform,unusal
request,uh whats the phone number and address please
inform,im looking for a restaurant in the center that serves bistro food
inform,chinese
inform,british feed
request,is it what what price range
null,appleton wisconsin
inform,uh north american food
confirm,is it in the north part of tow
request,may i have their address and phone number
request,what area
request,can i have the phone number and the price range
inform,portuguese food any price
request,phone number address
null,you have a shitty system
negate,no vietnamese food
request,what is the phone number please
request,signature dish
inform,ah scottish food
inform,i want a jamaican food restaurant in the center part of town
inform,im looking for a restaurant in any area that serves japanese
inform,halal
request,noise what was their address again please
inform,um im looking for a restaurant in the center part of town that serves lebanese food
inform,are there any that serves portuguese food
inform,greek restaurant north of town
inform,im looking for a restaurant serving french food
inform,chinese restaurant in the south part of town
request,may i have its address
inform,it doesnt matter hungarian food
repeat,cant repeat
inform,restaurant in the center serving persian food
request,and where is it
null,im l
request,i need the address phone number and post code
inform,im looking for a moderately priced labonese restaruant
negate,no im looking for an expensive restaurant in the east part of town
request,okay what is the address
reqalts,are there any other options
request,i want to find the address
request,address post code
request,what is address and phone number
inform,im looking for a restaurant in the center of town that serves mediterranean
inform,if there is no such venue how about spanish type of food
request,could you give me a address
inform,im looking for a restaurant in the north part of town and it should serve cata
inform,i want to find a moderately priced restaurant and it should serve
inform,im looking for a cheap spanish restaurant
inform,i want a restaurant in the center that serves french food
inform,doesnt matter but it should be moderately priced
inform,im looking for modern european food
reqalts,another one
request,in the cheap price range
reqalts,what about korean
request,and what area is it in
inform,im looking for an expensive restaurant that serves venetian food
reqalts,how about a moderately priced restaurant that serves spani
inform,im looking for a restaurant in the north part of town that serves french
thankyou,uh thank you good bye
inform,im looking for italian food though
request,sounds good whats the address
inform,in the north part of town
inform,expensive restaurant in the south
inform,i would like steakhouse food
inform,moderately priced restaurant in
inform,id like a restaurant that serves turkish food
inform,unitelligible food
inform,portuguese food in the south
confirm,is there a chinese food
request,can i have the phone number please
request,any price
request,address phone number price range
inform,can i find a restaurant that serves international food
inform,im looking for a moderately priced restaurant in the east part of town
inform,is there one serving european type food
request,can i have the phone number
inform,i want to find a restaurant in the west part of town and it should
inform,swiss
confirm,and is this a moderately priced restaurant
ack,okay uh can i
null,number
inform,moderate price west part of town
inform,turkish type food
null,can you hear me
request,can i have the address and postal code
null,do uh
affirm,breath yes id like a moderately priced restaurant that serves thai food
inform,what asian oriental food
inform,how bout i italian food
reqalts,how about the west of town
inform,id like a restaurant in
request,what is the phone number a
inform,catalen food
inform,moderate west
request,what type of food does the venue serve
inform,english food
inform,im looking for an expensive restaurant in the south part of
inform,south part of town south
request,may i have the phone number please
request,whats the address and price range
inform,i am looking for an expensive restaurant in the east
inform,ok i want to find a restaurant in the south part of town
request,can i have the address of that
inform,i want to find indian food then
inform,i want english food in the center of town
ack,breath okay how about thai food
null,show me the next
request,is it what price range
request,can i have the address of it
inform,im looking for a moderately priced restaurant in the south part of
null,kish
null,7:30
inform,okay expensive
request,what kind of food is there
negate,no im looking for eritrean food
inform,unintelligible restaurant in west part of town
negate,uh no im loo ah change it to british
affirm,yes yea
inform,the south side
inform,i dont care is there any north part of town
affirm,yes can i have a moderate priced restaurant
inform,im looking for a cheap pan asian food
inform,im looking for a restaurant in the south part
inform,looking for a restaurant in the south part of town
inform,i am looking for a british restaurant
inform,chiquito
reqalts,and what is the other restaurant
request,and the type of food
inform,steak house
reqalts,okay how about indian food
inform,im looking for an expensive restaurant that serves gastropub food
inform,uh cheap restaurant in north part of town
request,i want the address and ph
inform,i dont care what part of town
inform,i am looking for a singaporean restaurant in the north part of town
inform,i want a moderately priced restaurant that
reqalts,how about italian food in the west part of town
inform,is there one in the cheap price range
request,what is the address noise
inform,im looking for a restaurant that serves vegetarian food
request,what is the address
inform,i want a cheap restaurant in the east part of town
inform,im looking for a restaurant in the west part of town and it sh
inform,serving modern european food
inform,id like a barbecue restaurant
inform,restaurant in the south part of town that serves mexican food
inform,is there an expensive
inform,moderately priced
inform,i want a restaurant in the center
inform,restaurant there
inform,i want an expensive afghan restaurant
inform,i would like a restaurant
inform,polish food
affirm,yes can i have
inform,im looking for a restaurant in any area and it should serve pan asian food
inform,about portuguese
inform,need it in north
inform,a restaurant serving french food
inform,i would like mexican food
inform,cheap restaurant east part of town
request,what is the address phone number and price range
inform,i want to find a restaurant in the we
inform,im looking for a restaurant in the south part of town that serves indian
inform,i want a modern european restaurant
inform,im looking for a restaurant in the north part of town that serves christmas food
inform,i would like to find a restaurant that serves halal food
inform,british food north part of town
request,does it serve
reqalts,i hate golden wok is there anything else
inform,i want to find a restaurant in any area
ack,kay
inform,moderately priced serving gastro pub
request,can i get the address phone number and area
inform,im looking for a moderate priced restaurant in south part of
inform,a cheap restaurant and it should be in the west part of town
null,serving in
inform,i need a moderately priced restaurant
affirm,yes im looking for an expensive restaurant and it should serve
inform,im looking for a cheap restaurant that serves swedish food
inform,id like a restaurant in the north part of town that serves cross over food
inform,moderately priced restaurant
inform,i want to find a restaurant in the center that should serve belgian food
thankyou,alright thank you bye
request,what food is available in this area
null,okay can i
negate,no no
inform,north part of town serving canapes food
inform,breath i want to find an expensive restaurant and it sh
inform,do you have any asian oriental food
inform,in cheap restaurant
inform,restaurant west part of town
request,can i have the address and the
reqalts,how about the center area
inform,im looking for a restaurant in any area and it should serve turkish
inform,i am looking for a restaurant in the moderate price range that serves russian
inform,im looking for a moderately priced restaurant that serves european food
inform,european european
inform,id like a moderately priced restaurant that serves thai food
reqalts,what about vietnamese type of food
inform,is there one that serves creative
inform,i want a restaurant serving
request,restaurant two two phone number
reqalts,do you have another
inform,any any type
request,okay what is the phone number
request,and the post code please
inform,looking for moderately priced restaurant in the north part of town
inform,the pizza hutt unintelligent
request,in what area
confirm,does it serve spanish food
inform,unintelligible irish food
request,what prices
reqalts,anything else gastropub
inform,okay um chinese then
inform,find me a restaurant serving italian food
inform,um any type of food
inform,are there any serves asian oriental
thankyou,thank you thank you goodbye
inform,i want a restaurant in any area that serves vietnamese food
inform,find a moderately priced restaurant that serves bask food
inform,i want french
request,alright whats their address
inform,find a restaurant in the west part of town
inform,im looking for a restaurant in the east part of town and it should serve greek food
inform,can i have moderately priced restaurant in the west part of town
inform,looking for moderately priced russian food
inform,looking for african food in the center of town
inform,im looking for a restaurant cheap restaurant serving romanian food
request,type of food
request,area train
inform,i would like a cheap restaurant and it should
hello,hi im looking for a restaurant with japanese food
inform,uh vietnamese
inform,im looking for a restaurant in the east part of town that serves afghan food
inform,steakhouse
inform,i need a restaurant in the east part of town serving indian food
inform,c h e a p cheap
inform,looking for a moderately priced restaurant
request,what area is that in
inform,im looking for a restaurant that serves asian oriental food in the cheap price ran
inform,in the south part
request,can i have the address phone number and the type of food
thankyou,thank you goodbye
inform,polynesian
inform,i want an expensive restaurant in the east part of town
inform,are there any restaurants in the center of town
affirm,yes and i dont care about the price range
inform,im looking for an expensive restaurant serving english food
reqalts,is there another place
inform,breath expensive
inform,expensive european
inform,cheap restaurant north part of town
inform,im looking for a restaurant that serves italian
inform,japanese food
inform,moderate european
inform,was that in the east part of town west part of town
inform,im trying to find a moderately priced restaurant that serves swedish food
reqalts,how about a moderately priced restaurant that serves spanish
request,address phone number area
inform,im looking for something cheap
inform,any type
request,uh could i have the phone number
inform,canapes
affirm,yes expensive
inform,i need an expensive restsurant in the east part of town
hello,hi im looking for an expensive restaurant in the south part of town
affirm,yes knocking
inform,i need asian how bout asian food
inform,restaurant in the west part of town that serves
inform,i would like moroccan food
inform,do you have vietnamese food
inform,im looking for a restaurant that has unintelligible
inform,im looking for a moderately priced restaurant that serves tuscan food
request,the postcode
inform,it doesnt matter dear
confirm,is it in the cheap price range
null,what about unintelligible food restaurants
inform,im looking for moderately priced restaurant serving austrian food
inform,vietnam
inform,im looking for an expensive restaurant in a
request,serves what
inform,im looking for a restaurant that serves seafood
thankyou,thank thank
request,food of the venue
request,may i have its phone number
negate,uh no preference
inform,restaurant center spanish food
inform,japanese
reqalts,uh okay how about indian food in the east part of town
confirm,is there a british restaurant in the west of town
affirm,yes address
inform,either one
inform,id like thai food please
inform,west part of town cuban food
inform,i am looking for an expensive restaurant serving kitalian food
inform,breath i want to find a restaurant in the north part of town
inform,irish food
request,what is the address of the
inform,west part of town basque food
request,can i get the number
inform,i want to find a moderately priced restaurant and it should be in the west part of town
inform,i need a restaurant in the north part of town
request,okay how about the address
null,is there
inform,im looking for an expensive restaurant and it should be east part of town
inform,it doesnt matter to me
request,uh could you give me the address and telephone number
inform,restaurant in the north part of town
inform,im looking for mediterranean food
inform,im looking for a restaurant in the north
hello,hi im looking for a restaurant in the west part of town
inform,i would like to find an expensive restaurant in the south part
affirm,uh yes im looking for a belgian restaurant in new york city
inform,spanish food
inform,thai type of food
inform,i want to find an expensive restaurant in the east part of town
request,telephone number
inform,moderately priced restaurant in east part
null,um that serves
inform,chinese food east part of town
null,freakin
affirm,yes the address
request,okay let me have that address
inform,and expensive restaurant that serves tuscan food
inform,im looking for an expensive restaurant that serves signaporean food
inform,a restaurant thats serving international food
inform,is there mediterranean food
inform,im looking for a moderate priced restaurant in the south part of
affirm,yes can i have a vegetarian restaurant in the east part of town
inform,any part of town
request,can i have the phone number and type of food please
inform,im looking for a expensive restaurant
inform,find restaurant in north part of town serving asian
inform,moderately priced restaurant serving moroccan food
reqalts,okay how about any part of town
inform,spensive
affirm,yes i am in the east part of town right now and i am looking for any place that serves indonesian food
inform,north side
inform,im looking for an italian restaurant in the east part of town
inform,im looking for an expensive restaurant in the south part of tow
inform,i want asian oriental food
affirm,yeah im looking for a cheap restaurant
inform,i want to find a cheap re
thankyou,thats everything thank you
inform,a cuban restaurant cuban restaurant
request,where is the address and phone number
inform,um is doesnt matter
inform,iam looking for a cheap restaurant and it should be in the north part of town
inform,uh im looking for a moderately priced restaurant serving
reqalts,how about an expensive restaurant
hello,hi i would like a cheap restaurant in the north part of town
inform,restaurant south part of town international food
inform,im looking for a moderately priced restaurant in the east part of
reqalts,how about a castro pub type of food
inform,danish food in the center of town
inform,im looking for a modertley priced restaurant in the south
inform,im looking for eritrean food
reqalts,how about india
null,the addre
inform,the south part of town id like a restaurant that serves traditional food
inform,caribbean foo
inform,that serves gastropub
request,uh okay how about the address
inform,german food
inform,im looking for portuguese food
reqalts,uh how about north american
request,can i get the address and phone number
request,what is the area of the venue
inform,modern european foo
inform,in the west part of town in the cheap price range
inform,im looking for a japanese restaurant in the east part
reqalts,how about vietnamese type of food
thankyou,thank you have a good day
bye,cool um thank you good bye
inform,i am looking for a moderately priced restaurant serving cantonese food
request,phone number and food
inform,im looking for a cheap restaurant that serves italian food
inform,that serves cuban food
request,oh whats the address
