Column1;Column2;containsfood
affirm;yes;FALSE
thankyou;thank you good bye;FALSE
inform;i need a cheap restaurant in the west part of town;FALSE
thankyou;okay thank you good bye;FALSE
inform;i would like a cheap restaurant in the north part of town;FALSE
inform;the north;FALSE
negate;no;FALSE
inform;uh just pick a restaurant;FALSE
inform;creative;FALSE
request;can i get the address;FALSE
inform;expensive restaurant tuscan food;TRUE
null;noise;FALSE
request;what type of food;TRUE
request;and what type of food is that;TRUE
inform;uh i dont care;FALSE
request;and phone number;FALSE
inform;vietnamese;FALSE
inform;hi im looking for moderately priced;FALSE
bye;good bye;FALSE
request;what is the address;FALSE
inform;cheap restaurant;FALSE
inform;doesnt matter;FALSE
inform;mediterranean;FALSE
null;noise;FALSE
request;what is the price range;FALSE
request;may i have their address please;FALSE
request;phone number;FALSE
affirm;yes;FALSE
inform;spanish food;TRUE
request;the price range;FALSE
affirm;yes;FALSE
inform;french food;TRUE
inform;find gastropub restaurant;FALSE
inform;cheap restaurant;FALSE
affirm;yes;FALSE
inform;international food;TRUE
inform;any type;FALSE
request;can i get address phone number;FALSE
thankyou;thank you good bye;FALSE
request;can i get the phone number;FALSE
inform;i want to find a restaurant moderately priced in the south part of town;FALSE
inform;restaurant in the west part of town serving moroccan food;TRUE
inform;gastropub moderate;FALSE
inform;im looking for an expensive restaurant in the east part of town;FALSE
inform;caribbean foo;FALSE
reqalts;how about spanish;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
inform;i dont care;FALSE
inform;an expensive italian restaurant;FALSE
inform;cantonese food;TRUE
thankyou;thank you good bye;FALSE
inform;indian;FALSE
null;sil;FALSE
inform;aristrain food;TRUE
thankyou;thank you good bye;FALSE
request;address;FALSE
inform;restaurant west part of town;FALSE
inform;unintelligible food;TRUE
request;and the telephone number;FALSE
inform;italian food;TRUE
inform;i am looking;FALSE
inform;creative food;TRUE
thankyou;okay thats all thank you good bye;FALSE
inform;im looking for a moderately priced restaurant that serves canapes;FALSE
request;phone number;FALSE
affirm;yes;FALSE
bye;good bye;FALSE
inform;west part of town moderately priced;FALSE
confirm;does it serve hungarian food;TRUE
request;address please;FALSE
request;phone number and address;FALSE
inform;id like a restaurant in the north part of town serving indian food;TRUE
request;phone number;FALSE
request;what is the address;FALSE
inform;im looking for a cheap restaurant in the south part of town;FALSE
affirm;yes;FALSE
inform;turkish food any area;TRUE
request;what is the type of food;TRUE
request;phone number;FALSE
request;what is the phone number;FALSE
inform;im looking for a moderately priced restaurant in the east part of town;FALSE
request;phone;FALSE
inform;im looking for a cheap restaurant that serves vietnamese food;TRUE
request;whats the address;FALSE
request;what is the address and phone number;FALSE
inform;expensive;FALSE
inform;any;FALSE
thankyou;thank you good bye;FALSE
request;okay can i have the phone number;FALSE
null;sil;FALSE
inform;im looking for an expensive restaurant in the south part of tow;FALSE
thankyou;thank you goodbye;FALSE
inform;european food;TRUE
inform;expensive;FALSE
request;can i have the address please;FALSE
request;what type of food;TRUE
request;do you have the address;FALSE
inform;id like a moderately priced restaurant in the south part of town;FALSE
null;range please;FALSE
request;what is the phone number;FALSE
inform;afghan;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you;FALSE
request;phone number;FALSE
negate;no french food;TRUE
hello;hello;FALSE
inform;south;FALSE
request;phone number;FALSE
inform;french food;TRUE
thankyou;thank you good bye;FALSE
request;type of food does it serve;TRUE
request;what area is it in;FALSE
affirm;yes;FALSE
inform;hindi food is okay;TRUE
inform;doesnt matter;FALSE
request;may i have the address phone number and post code;FALSE
inform;i dont care;FALSE
inform;dont care;FALSE
inform;expensive;FALSE
inform;any area;FALSE
thankyou;thank you good bye;FALSE
request;food do they serve;TRUE
inform;can i have a caribbean food;TRUE
inform;i dont care;FALSE
inform;doesnt matter;FALSE
inform;gastropub;FALSE
thankyou;thank you good bye;FALSE
inform;it doesnt matter hungarian food;TRUE
thankyou;thank you good bye;FALSE
inform;cheap restaurant;FALSE
inform;vietnamese;FALSE
null;system;FALSE
thankyou;thank you good bye;FALSE
request;what is the address;FALSE
request;what is the pri what is the telephone number;FALSE
inform;it doesnt matter;FALSE
inform;gastropub food;TRUE
request;the price range;FALSE
reqalts;next one;FALSE
confirm;is it chinese food though;TRUE
request;address;FALSE
inform;moderately priced restaurant in;FALSE
inform;im looking for a cheap restaurant;FALSE
bye;goodbye;FALSE
inform;french food;TRUE
affirm;yes;FALSE
request;can i have the phone number and the price range;FALSE
inform;middle;FALSE
null;sil;FALSE
inform;west side;FALSE
reqalts;anything else;FALSE
inform;im looking for a restaurant that serves tuscan food;TRUE
request;what is the phone number;FALSE
thankyou;thank you good bye;FALSE
inform;i want to find a moderately priced restaurant and it should be in the;FALSE
thankyou;thank you good bye;FALSE
request;price range;FALSE
request;phone number;FALSE
inform;any area any price;FALSE
inform;im looking for a cheap restaurant in the north part of town;FALSE
inform;it doesnt matter;FALSE
inform;south;FALSE
inform;id like a hungarian food restaurant in the centre part of town;TRUE
thankyou;thank you good bye;FALSE
null;uh have;FALSE
inform;im looking for russian food;TRUE
request;phone number;FALSE
inform;im looking for a cheap restaurant that serves;FALSE
reqalts;how about spanish food;TRUE
inform;restaurant in the east part of town international food;TRUE
request;address;FALSE
request;address;FALSE
request;what is um the address and phone number;FALSE
thankyou;thank you good bye;FALSE
inform;east part of town;FALSE
request;whats the phone number;FALSE
affirm;yes;FALSE
request;expensive price restaurant;FALSE
inform;turkish food;TRUE
affirm;right that serves italian food;TRUE
inform;asian;FALSE
inform;any;FALSE
inform;italian food;TRUE
confirm;okay is it moderately priced;FALSE
reqalts;how about italian food;TRUE
request;price range;FALSE
reqalts;anything else;FALSE
inform;i dont care;FALSE
inform;dont care;FALSE
thankyou;thank you good bye;FALSE
inform;i need a cheap restaurant that serves christmas food;TRUE
request;and the post code;FALSE
inform;what does rice house;FALSE
confirm;is it serving french food;TRUE
inform;im looking for a restaurant in the east part of town that serves traditional food;TRUE
request;what kind of food;TRUE
inform;west;FALSE
inform;british;FALSE
inform;greek;FALSE
request;what type of food;TRUE
inform;any of those things;FALSE
request;and the price range;FALSE
inform;food;TRUE
request;address;FALSE
affirm;yes;FALSE
inform;im looking for a restaurant in the east part of town serving swiss food;TRUE
request;phone;FALSE
inform;any;FALSE
inform;tv_noise im looking for a restaurant in the moderately pri;FALSE
inform;south;FALSE
request;area;FALSE
inform;it should serve caribbean food;TRUE
request;phone number;FALSE
negate;no;FALSE
request;what is the address;FALSE
inform;i am looking for a restaurant in the west part of town;FALSE
request;can i have the post code;FALSE
inform;i need a cheap restaurant in the south part of town;FALSE
inform;id like an expensive restaurant that serves fusion food;TRUE
thankyou;thank you goodbye;FALSE
request;okay what about the post code;FALSE
inform;i want italian food;TRUE
inform;i dont care;FALSE
request;address;FALSE
thankyou;thank you goodbye;FALSE
negate;no;FALSE
inform;any kind;FALSE
inform;gastro pub;FALSE
request;what area;FALSE
inform;a chi ok lets look for chinese restaurant;FALSE
affirm;yes;FALSE
reqalts;how about french food;TRUE
null;i dont;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
request;phone number;FALSE
thankyou;thank you good bye;FALSE
inform;european food;TRUE
negate;no;FALSE
null;ring;FALSE
thankyou;thank you good bye;FALSE
request;and the phone number;FALSE
inform;south area;FALSE
inform;doesnt matter;FALSE
request;whats the phone number;FALSE
request;what is the post code;FALSE
inform;south part of town;FALSE
null;noise;FALSE
inform;im looking for a restaurant in the east part of town serving chinese food;TRUE
request;phone number;FALSE
request;address;FALSE
request;what is the address;FALSE
inform;food;TRUE
null;unintelligible;FALSE
null;sil;FALSE
thankyou;thank you good bye;FALSE
inform;any;FALSE
thankyou;thank you good bye;FALSE
inform;french;FALSE
inform;moderately priced;FALSE
inform;any;FALSE
null;unintelligible;FALSE
inform;cheap restaurant serves spanish food;TRUE
inform;asian food;TRUE
affirm;yes italian food;TRUE
inform;dont care;FALSE
thankyou;thank you good bye;FALSE
request;phone number;FALSE
inform;moderate;FALSE
request;can i have the address and phone number please;FALSE
inform;traditional food;TRUE
request;address;FALSE
thankyou;thank you good bye;FALSE
inform;in the east part of town;FALSE
inform;irish food;TRUE
thankyou;thank you good bye;FALSE
inform;polish food;TRUE
request;address;FALSE
request;could i have the address and post code;FALSE
request;what is the phone number;FALSE
request;what type of food they serve;TRUE
null;um;FALSE
thankyou;thank you good bye;FALSE
reqalts;how about british food;TRUE
affirm;yes;FALSE
inform;i want a restaurant in the north part of town that serves swiss food;TRUE
thankyou;thank you good bye;FALSE
reqalts;how about itailian;FALSE
request;address;FALSE
inform;i dont care can i try again;FALSE
inform;like to find a restaurant in the east part of town and it should serve indian food;TRUE
inform;persian food;TRUE
request;whats the address and post code;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
request;whats the address;FALSE
inform;how bout italian foo;FALSE
inform;in the south part of town;FALSE
request;and can i have the post code;FALSE
affirm;yes;FALSE
inform;moderate;FALSE
inform;i dont care;FALSE
request;what is the post code;FALSE
request;post code;FALSE
thankyou;thank you good bye;FALSE
null;unintelligible;FALSE
request;phone number;FALSE
thankyou;thank you good bye;FALSE
request;address;FALSE
request;post code;FALSE
inform;catalan;FALSE
inform;im looking for a cheap restaurant in the west part of town;FALSE
reqalts;okay how about modern european food;TRUE
affirm;yes yes;FALSE
thankyou;thank you goodbye;FALSE
inform;im looking for a restaurant with irish food;TRUE
request;what is their address and phone number;FALSE
inform;i want to find a cheap restaurant in the south part of town;FALSE
inform;american;FALSE
request;whats the address;FALSE
request;what is the phone number;FALSE
inform;any kind;FALSE
inform;east part of town;FALSE
reqalts;is there anything else;FALSE
null;noise;FALSE
reqalts;is there anything else in the medium price range;FALSE
confirm;is it in the north part of town;FALSE
request;address;FALSE
null;noise;FALSE
null;noise;FALSE
inform;i dont care about the price range;FALSE
request;address;FALSE
thankyou;thank you good bye;FALSE
null;sil;FALSE
request;address;FALSE
reqalts;how about a restaurant in the north part of town that sells french food;TRUE
inform;catalan;FALSE
request;whats their phone number;FALSE
inform;restaurant in the north part of town that serves hungarian food;TRUE
request;address;FALSE
inform;any price range;FALSE
request;what is the address;FALSE
inform;the turkiesh food;TRUE
affirm;yes;FALSE
inform;east;FALSE
affirm;yes;FALSE
inform;i want to find a cheap restaurant and it should be in the east part of town;FALSE
request;address;FALSE
request;phone number;FALSE
inform;west part of town;FALSE
inform;is there is no such venue that have asian oriental type of food;TRUE
reqalts;how about canapes;FALSE
request;whats the phone number;FALSE
bye;good bye;FALSE
inform;im looking for a moderately priced restaurant in the north;FALSE
reqalts;how about chinese food;TRUE
null;noise;FALSE
inform;food;TRUE
thankyou;thank you good bye;FALSE
inform;it doesnt matter;FALSE
thankyou;thank you good bye;FALSE
request;what is the area;FALSE
inform;moderate;FALSE
request;post code;FALSE
inform;moderately priced;FALSE
request;could i have the address and phone number please;FALSE
inform;i dont care;FALSE
inform;id like a restaurant in the east part of town that serves;FALSE
null;noise;FALSE
inform;spanish;FALSE
inform;international food;TRUE
request;whats the phone number and address;FALSE
inform;south;FALSE
inform;tv_noise any;FALSE
request;address;FALSE
thankyou;thank you good bye;FALSE
affirm;yes;FALSE
negate;no;FALSE
affirm;yes;FALSE
inform;cheap;FALSE
inform;moderately priced restaurant in the north part of town;FALSE
null;unintelligible;FALSE
inform;irish food;TRUE
inform;cheap italian;FALSE
thankyou;thank you good bye;FALSE
confirm;does it serve canapes food;TRUE
thankyou;thank you good bye;FALSE
inform;expensive;FALSE
inform;im looking for a restaurant in the south part of town;FALSE
inform;im looking for a restaurant serving pan asian foo;FALSE
inform;doesnt matter;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
request;what is their address;FALSE
request;can i have the phone number;FALSE
inform;north part of town;FALSE
request;can i get the address and phone number;FALSE
inform;im looking for a moderately priced restaurant;FALSE
inform;british;FALSE
request;the postcode;FALSE
inform;any;FALSE
inform;looking for a restaurant in the center that serves;FALSE
request;address;FALSE
inform;unusual food;TRUE
request;address;FALSE
inform;vietnamese in the center part of town;FALSE
thankyou;thank you good bye;FALSE
inform;cheap restaurant in the south part of town;FALSE
thankyou;thank you good bye;FALSE
inform;north;FALSE
reqalts;how about indian food;TRUE
inform;unintelligible food;TRUE
request;phone number;FALSE
request;can i have the phone number;FALSE
inform;expensive;FALSE
thankyou;thank you good bye;FALSE
request;address;FALSE
reqalts;is there anything else;FALSE
request;and the address;FALSE
affirm;yes;FALSE
null;noise;FALSE
reqalts;how about mediterranean food;TRUE
request;what is the address and post code;FALSE
request;i need the phone number and post code;FALSE
inform;i dont care is there any north part of town;FALSE
affirm;yes;FALSE
inform;i dont care;FALSE
inform;restaraunt serving fusion food;TRUE
inform;asian oriental;FALSE
request;phone number;FALSE
inform;uh east;FALSE
inform;i would like to find a moderately priced restaurant in the north part of town please;FALSE
null;sil;FALSE
request;phone number;FALSE
request;can i have the address of the venue;FALSE
reqalts;uh how about north american;FALSE
null;noise;FALSE
inform;moderately priced international food;TRUE
affirm;yes;FALSE
inform;north part of town;FALSE
inform;cheap restaurant;FALSE
request;what is the address;FALSE
null;unintelligible;FALSE
request;can i get address;FALSE
request;phone number;FALSE
thankyou;thank you good bye;FALSE
inform;it doesnt matter;FALSE
inform;um im looking for a moderately priced restaurant in the south part of town;FALSE
affirm;yes;FALSE
negate;no;FALSE
inform;food;TRUE
thankyou;thank you good bye;FALSE
request;phone number;FALSE
reqalts;is there anything else;FALSE
inform;im looking for spanish food;TRUE
request;what type of food do they ser;TRUE
inform;im looking for a moderately priced restaurant in the south part of town;FALSE
request;whats the price range please;FALSE
thankyou;thank you good bye;FALSE
request;phone number address;FALSE
inform;chineese;FALSE
affirm;yes;FALSE
inform;unusual food;TRUE
request;what is the phone number;FALSE
request;whats the phone number;FALSE
request;price;FALSE
inform;expensive;FALSE
inform;north part of town;FALSE
inform;cheap;FALSE
reqalts;how about asian oriental food;TRUE
inform;west;FALSE
thankyou;alright thank you bye;FALSE
request;what type of food do they serve;TRUE
affirm;yes;FALSE
request;what is the post code;FALSE
negate;no;FALSE
inform;can i have asian food;TRUE
negate;no;FALSE
request;address;FALSE
inform;south of town;FALSE
inform;okay uh how bout british food;TRUE
inform;asian oriental;FALSE
inform;im looking for a moderately priced restaurant serving basque food;TRUE
bye;okay thank you and good bye;FALSE
inform;north;FALSE
inform;im looking for asian food;TRUE
inform;any part of town;FALSE
inform;caribbean food;TRUE
thankyou;thank you good bye;FALSE
request;may i have the address and phone nymber;FALSE
request;type of food;TRUE
reqalts;is there anything else;FALSE
confirm;is it in the moderate price range;FALSE
thankyou;thank you good bye;FALSE
null;sil;FALSE
request;whats the phone number;FALSE
null;how about tha;FALSE
inform;center;FALSE
request;can you give me the phone number;FALSE
inform;barbecue;FALSE
thankyou;thank you good bye;FALSE
reqalts;how about gastropub food;TRUE
confirm;do they serve cuban;FALSE
inform;canapes food;TRUE
inform;i would like steakhouse food;TRUE
inform;i need to find a moderately priced restaurant;FALSE
request;type of food;TRUE
thankyou;thank you good bye;FALSE
reqalts;i want another restaurant that serves spanish food;TRUE
thankyou;thank you good bye;FALSE
inform;east;FALSE
inform;moderately priced;FALSE
negate;no im looking for austria asian food;TRUE
null;now;FALSE
thankyou;thank you goodbye;FALSE
inform;in the north part of town;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
inform;i dont care;FALSE
inform;restaurant;FALSE
inform;noise im looking for a cheap restaurant in the south part of town;FALSE
inform;can i have a cheap restaurant;FALSE
inform;indonesian food;TRUE
request;area;FALSE
thankyou;thank you good bye;FALSE
inform;im looking for a moderately priced restaurant;FALSE
negate;no;FALSE
request;whats their phone number;FALSE
request;and the address;FALSE
confirm;does it serve korean food;TRUE
thankyou;thank you goodbye;FALSE
request;can i have the phone number;FALSE
inform;i dont care;FALSE
thankyou;thank you goodbye;FALSE
inform;any;FALSE
reqalts;how about british food;TRUE
inform;i dont care;FALSE
inform;polish food;TRUE
inform;im looking for a restaurant that serves mexican food;TRUE
inform;center;FALSE
request;phone number;FALSE
inform;west;FALSE
request;could i get the address please;FALSE
request;the address;FALSE
inform;malaysian food;TRUE
inform;looking for a restaurant in the south part of town;FALSE
request;address;FALSE
inform;the north part;FALSE
inform;mexican food;TRUE
inform;i need a cheap restaurant;FALSE
thankyou;thank you good bye;FALSE
inform;portuguese;FALSE
reqalts;how about one serving jamaican food;TRUE
thankyou;thank you good bye;FALSE
affirm;yea in the east part of town;FALSE
inform;looking for a cheap restaurant;FALSE
request;may i have the address please;FALSE
inform;italian food cheap restaurant;TRUE
request;area of the venue;FALSE
thankyou;thank you good bye;FALSE
request;what type of food does it serve;TRUE
thankyou;thank you good bye;FALSE
request;phone number;FALSE
reqalts;what about turkish food;TRUE
reqalts;is there anything else;FALSE
inform;spanish;FALSE
bye;bye;FALSE
inform;i dont care;FALSE
thankyou;good bye thank you;FALSE
reqalts;how about thai food;TRUE
negate;no that is not unintelligible italian type of food;TRUE
request;phone number;FALSE
affirm;yes;FALSE
request;type of food;TRUE
inform;swedish food;TRUE
thankyou;thank you goodbye;FALSE
inform;im looking for a restaurant that serves german food;TRUE
reqalts;how about asian oriental food;TRUE
request;address;FALSE
request;address;FALSE
thankyou;thank you good bye;FALSE
reqalts;how about british food;TRUE
reqalts;okay how about indian food;TRUE
inform;can i have greek food;TRUE
inform;gastropub food;TRUE
thankyou;thank you good bye;FALSE
request;can i get the address;FALSE
inform;international;FALSE
inform;cheap;FALSE
inform;portuguese;FALSE
inform;north;FALSE
reqalts;is there anything else;FALSE
inform;south;FALSE
request;phone number;FALSE
thankyou;thank you good bye;FALSE
inform;cheap;FALSE
inform;i dont care;FALSE
request;could i have their phone number and address please;FALSE
inform;the north;FALSE
thankyou;thank you good bye;FALSE
reqalts;next one please;FALSE
thankyou;thank you good bye;FALSE
reqalts;how about modern european type of food;TRUE
reqalts;anything else;FALSE
inform;any part of town;FALSE
null;noise;FALSE
inform;i need a restaurant in the west part of town;FALSE
inform;the south part of town;FALSE
affirm;yes;FALSE
null;noise;FALSE
request;what is the phone number;FALSE
reqalts;okay what about modern european food;TRUE
inform;french food;TRUE
inform;doesnt matter;FALSE
inform;i want a basque food restaurant;TRUE
inform;asian oriental food;TRUE
thankyou;thank you goodbye;FALSE
thankyou;thank you good bye;FALSE
reqalts;how about korean food;TRUE
request;what type of food;TRUE
request;address;FALSE
inform;a cheap;FALSE
request;what is the address;FALSE
inform;south;FALSE
thankyou;thank you good bye;FALSE
inform;east;FALSE
inform;i would like afghan food;TRUE
null;unintelligible;FALSE
inform;i need to find a moderately priced restaurant;FALSE
request;address;FALSE
negate;no vietnamese food;TRUE
thankyou;thank you good bye;FALSE
thankyou;thank you goodbye noise;FALSE
inform;cheap;FALSE
reqalts;how about chinese;FALSE
inform;expensive restaurant south part of town;FALSE
inform;im looking for north american food;TRUE
inform;i dont know;FALSE
affirm;yes;FALSE
inform;noise i want to find a restaurant that ser;FALSE
inform;north part of town;FALSE
request;could i have the address;FALSE
request;what is the address;FALSE
reqalts;how about indian food;TRUE
inform;the south part of town greek food;TRUE
inform;thai;FALSE
inform;moroccan food;TRUE
inform;does not matter;FALSE
request;excellent and what is the price range of that venue;FALSE
null;unintelligible;FALSE
request;address;FALSE
request;area;FALSE
request;whats its phone number;FALSE
reqalts;is there anything else;FALSE
request;phone number;FALSE
request;okay what is the addre;FALSE
inform;dont care;FALSE
inform;anything is fine;FALSE
request;can i have their address;FALSE
request;any price;FALSE
null;noise;FALSE
null;noise;FALSE
thankyou;thank you good bye;FALSE
inform;looking for a moderately priced restaurant in the east part of town;FALSE
bye;alright thank you good bye;FALSE
request;okay whats the address for that;FALSE
request;what area is it in;FALSE
request;may i get the address and phone please;FALSE
inform;im looking for a cheap restaurant in the north part of town;FALSE
bye;okay good bye;FALSE
reqalts;how about canape food;TRUE
inform;asian food in the north part of town;TRUE
request;whats the address;FALSE
null;noise;FALSE
inform;north;FALSE
request;address;FALSE
request;how about the phone number;FALSE
thankyou;thank you good bye;FALSE
request;whats the address;FALSE
affirm;yes;FALSE
request;what part of town;FALSE
request;whats their address;FALSE
request;address phone number;FALSE
thankyou;thank you good bye;FALSE
null;aw give me the damn code;FALSE
request;and phone number please;FALSE
null;sil;FALSE
affirm;yes;FALSE
request;and the phone number;FALSE
request;address;FALSE
request;what is the address;FALSE
request;what is the phone number;FALSE
thankyou;thank you good bye;FALSE
inform;i want a restaurant in the south part of town;FALSE
inform;id like a restaurant that serves thai food;TRUE
request;what is the address and phone number;FALSE
reqalts;how about indian;FALSE
inform;center;FALSE
negate;no;FALSE
inform;west;FALSE
reqalts;what about thai food;TRUE
inform;chinese food;TRUE
request;what is the address;FALSE
request;what is the address and phone number;FALSE
inform;any;FALSE
null;noise;FALSE
inform;chinese oriental;FALSE
request;post code;FALSE
inform;dont care whats the phone number;FALSE
inform;doesnt matter;FALSE
inform;asian oriental type of food;TRUE
inform;indian food west part of town;TRUE
request;whats the phone number;FALSE
inform;dont care;FALSE
request;what is their phone number;FALSE
request;can i get the address phone number and post code;FALSE
inform;cheap restaurant on the east part of town;FALSE
inform;what about a restaurant serving chinese food;TRUE
inform;food;TRUE
inform;korean;FALSE
inform;sea food;TRUE
inform;im looking for a restaurant in the south part of town serving portuguese;FALSE
null;um hm;FALSE
reqalts;how about turkish type of food;TRUE
inform;south;FALSE
inform;south;FALSE
inform;food;TRUE
inform;veitnamese;FALSE
request;what is the address and telephone number;FALSE
negate;no;FALSE
inform;hungarian;FALSE
thankyou;thank you good bye;FALSE
request;whats the address;FALSE
